system,dataset,repeat,MAPE,MAE,RMSE
batlik,corona.csv,0,0.12241519477191748,0.18193943031179977,0.2644193157739137
batlik,corona.csv,1,0.12156852812886774,0.17997729151132352,0.2583745551949107
batlik,corona.csv,2,0.12327950254154699,0.184215003509706,0.26759632465629524
batlik,corona.csv,3,0.12460011573905175,0.18293256137805816,0.2591800518216489
batlik,corona.csv,4,0.12178515162230807,0.18346736644342732,0.26787499708280776
batlik,cranium.csv,0,0.033783458113543635,0.07091935751149403,0.10051737387499847
batlik,cranium.csv,1,0.03304655790054637,0.07016554911071957,0.09740983791471744
batlik,cranium.csv,2,0.03421318242313684,0.07095706546399491,0.09956355908751653
batlik,cranium.csv,3,0.03329648295713958,0.06918878341170549,0.09436423244000613
batlik,cranium.csv,4,0.03416575377444526,0.0701985497886458,0.09678478114035798
batlik,cubus.csv,0,0.04018429331869455,0.2461862393930913,0.3451770717856376
batlik,cubus.csv,1,0.03883773741861705,0.2402606337274508,0.33548330471649745
batlik,cubus.csv,2,0.039801906838842896,0.24712501441329118,0.3417860889616808
batlik,cubus.csv,3,0.04030314256204513,0.2487647377248824,0.33650706323787105
batlik,cubus.csv,4,0.03986349388013428,0.24351075490964266,0.3297215663432549
batlik,flame.csv,0,0.03255260099884761,0.058142336334308355,0.07982921441118583
batlik,flame.csv,1,0.031860240084051715,0.057797223233684955,0.07666953712219285
batlik,flame.csv,2,0.03221665998979902,0.05817951915507875,0.07776199507464096
batlik,flame.csv,3,0.032333435827211404,0.058017923730265944,0.07649246150880687
batlik,flame.csv,4,0.03275311083158811,0.05871606380835819,0.07747593126893139
batlik,france.csv,0,0.04040272303495143,0.14932864656177106,0.1995104017983684
batlik,france.csv,1,0.038570747328585314,0.14451663700069192,0.18958221004929268
batlik,france.csv,2,0.04109119312678498,0.15022921284923133,0.19812947112479073
batlik,france.csv,3,0.04118074408653553,0.15113090585730748,0.19681393958006627
batlik,france.csv,4,0.04032115681702844,0.1463451608339958,0.18879361160915786
batlik,frisco.csv,0,0.05123566701668926,0.24930793266585694,0.3404025597935194
batlik,frisco.csv,1,0.049770031063942274,0.24332591849743906,0.32605478029837126
batlik,frisco.csv,2,0.05078659928220369,0.24701564818476987,0.3392808936837804
batlik,frisco.csv,3,0.0523143617589341,0.25275214414465874,0.33492908214539996
batlik,frisco.csv,4,0.05238449804944872,0.2532708653396798,0.3428662502415639
batlik,jelly.csv,0,0.17087869125603503,0.3236384353917992,0.44246942454436045
batlik,jelly.csv,1,0.16685817872510914,0.31700388262979257,0.428997817787317
batlik,jelly.csv,2,0.17248538828409118,0.33018955518092585,0.4542960555039608
batlik,jelly.csv,3,0.17363617763604713,0.32430425866005985,0.43470616869371104
batlik,jelly.csv,4,0.17006407260163148,0.33096533135827805,0.47343333194814413
batlik,karte.csv,0,0.14962233542899572,1.4829193831015068,1.8934002106777792
batlik,karte.csv,1,0.15167323066365807,1.493442749923075,1.9130179170564985
batlik,karte.csv,2,0.15107462866383564,1.5022676386481448,1.8929286860062506
batlik,karte.csv,3,0.15092736763997877,1.5005540451278536,1.881262600606493
batlik,karte.csv,4,0.15323429140709954,1.5002407850163166,1.8559237589667215
batlik,mandelbrot.csv,0,0.04621834506687664,0.06148834428121927,0.08405808192000638
batlik,mandelbrot.csv,1,0.04779804020837908,0.06295852141072089,0.08551903258822967
batlik,mandelbrot.csv,2,0.04771569535996716,0.06332846966952993,0.08552353699050107
batlik,mandelbrot.csv,3,0.04592918524103735,0.06056746562510708,0.08224314916857464
batlik,mandelbrot.csv,4,0.0468800782309069,0.06195478253353248,0.08578680411755112
batlik,strawberry.csv,0,0.05527592901404383,0.09504275303045212,0.13284321775906385
batlik,strawberry.csv,1,0.05259378289089634,0.09100172985723821,0.12742779364605084
batlik,strawberry.csv,2,0.05648319810373478,0.09722417528615972,0.13563544541184658
batlik,strawberry.csv,3,0.05637727819254068,0.09559272935937724,0.13008693809697763
batlik,strawberry.csv,4,0.05554751633774814,0.09550538034762246,0.1353643960433286
batlik,village.csv,0,0.581841833101968,1.8033663420799937,2.4467702509233256
batlik,village.csv,1,0.5573846048858867,1.737061421157356,2.3481518064821607
batlik,village.csv,2,0.5817857280861242,1.8445476396469596,2.535035645065077
batlik,village.csv,3,0.5876680447076436,1.8044598111638261,2.431902624813632
batlik,village.csv,4,0.569952022358514,1.8382207966494875,2.562994219027749
dconvert,jpeg-large.csv,0,0.13334373624333506,0.41481576929450914,0.5603826646331626
dconvert,jpeg-large.csv,1,0.13685296567890015,0.43057257822969713,0.5868944004221234
dconvert,jpeg-large.csv,2,0.133911621052457,0.412044004665671,0.56352909258555
dconvert,jpeg-large.csv,3,0.13099638538212133,0.41828828219680664,0.5798086665480864
dconvert,jpeg-large.csv,4,0.13230629631253732,0.41069004326238817,0.5585257361265564
dconvert,jpeg-medium.csv,0,0.10081758272839339,0.17626567947817992,0.23972032952939012
dconvert,jpeg-medium.csv,1,0.10353630019199125,0.18307114052437884,0.2500226708725879
dconvert,jpeg-medium.csv,2,0.1012344801111372,0.17546650551025492,0.24002784306162248
dconvert,jpeg-medium.csv,3,0.09954301222126603,0.17787205235858608,0.24692317879525763
dconvert,jpeg-medium.csv,4,0.10076376693910118,0.17572737136679312,0.23914897145871364
dconvert,jpeg-small.csv,0,0.035106817380903876,0.015080646290352056,0.019169815454887905
dconvert,jpeg-small.csv,1,0.03532385039816554,0.015164647636380485,0.01940619554869276
dconvert,jpeg-small.csv,2,0.035581364563081544,0.015288559226906135,0.019510394555083823
dconvert,jpeg-small.csv,3,0.03478972552657296,0.014992125513138214,0.019226973286343547
dconvert,jpeg-small.csv,4,0.03590997348810095,0.015444062327352164,0.019460837169477687
dconvert,png-large.csv,0,0.09295448360957223,0.22074594198327088,0.27952153045180217
dconvert,png-large.csv,1,0.09287718770529366,0.2220550214553019,0.2870526631778369
dconvert,png-large.csv,2,0.09290559925141868,0.21764474015860946,0.2786619779705726
dconvert,png-large.csv,3,0.09081347432663346,0.21920312365353387,0.2848690006609908
dconvert,png-large.csv,4,0.0912299525316842,0.21647213240513977,0.27734357395026893
dconvert,png-medium.csv,0,0.03619986973630419,0.02351168383709181,0.029373257869645973
dconvert,png-medium.csv,1,0.035296813459308865,0.02300974942439074,0.029106910762323506
dconvert,png-medium.csv,2,0.03523764959776601,0.022897395169512655,0.029041915595016544
dconvert,png-medium.csv,3,0.03611415419882099,0.023646282460921306,0.02979191265482278
dconvert,png-medium.csv,4,0.03574687545622398,0.023257630957693735,0.029109628284936698
dconvert,png-small.csv,0,0.03236332471705344,0.014506189955500792,0.01886434434692368
dconvert,png-small.csv,1,0.033533052727554996,0.015047962088354943,0.019757768217848266
dconvert,png-small.csv,2,0.03369446188500603,0.015160667197620444,0.02015348988949441
dconvert,png-small.csv,3,0.03370863097028781,0.015215813446484537,0.020339466668932268
dconvert,png-small.csv,4,0.03338650760248219,0.015017551743429513,0.019706050894220506
dconvert,psd-large.csv,0,0.013952334243023232,0.5246031332249532,0.8474793223431352
dconvert,psd-large.csv,1,0.013987589234385483,0.5232773232580467,0.8287863458607486
dconvert,psd-large.csv,2,0.014142647878501249,0.53187533736966,0.8755365852455588
dconvert,psd-large.csv,3,0.014323859613995907,0.5379098355565506,0.8723111809892571
dconvert,psd-large.csv,4,0.014445125238160376,0.5459294887810089,0.8806763213628361
dconvert,psd-medium.csv,0,0.0518515771608803,0.06743057260549083,0.08904547012340813
dconvert,psd-medium.csv,1,0.05177312370094333,0.0680933778323544,0.09304798466935549
dconvert,psd-medium.csv,2,0.05171159667891476,0.06688173606855381,0.0895055620475939
dconvert,psd-medium.csv,3,0.05141233097214842,0.06725491945108551,0.09041750968960224
dconvert,psd-medium.csv,4,0.050964738316626554,0.06627691956208907,0.08817779406177266
dconvert,psd-small.csv,0,0.03491899934376125,0.01951285648059611,0.024354326299670978
dconvert,psd-small.csv,1,0.03628255107741033,0.02031061016476784,0.025160902785563266
dconvert,psd-small.csv,2,0.035385065779486254,0.019767494791047717,0.024584804192139095
dconvert,psd-small.csv,3,0.03625043839999358,0.020359794328559895,0.02514896423795818
dconvert,psd-small.csv,4,0.035078882035565695,0.01964545447806522,0.024428719027371995
dconvert,svg-large.csv,0,0.01992872573789963,0.030061843434434993,0.0388971031219171
dconvert,svg-large.csv,1,0.020155104548349314,0.030402884601341704,0.03948472281123254
dconvert,svg-large.csv,2,0.020276312576942467,0.03053230261633819,0.038784016874124694
dconvert,svg-large.csv,3,0.020528154238590623,0.030929854260682007,0.039104499441109004
dconvert,svg-large.csv,4,0.02022134648145072,0.030445780824964543,0.03862501568680346
dconvert,svg-medium.csv,0,0.017117363204846664,0.026357750183818276,0.03283119347480951
dconvert,svg-medium.csv,1,0.01675223558218177,0.025775942771136352,0.03240946167855535
dconvert,svg-medium.csv,2,0.017226451308937827,0.026480191679096182,0.033194539153799704
dconvert,svg-medium.csv,3,0.01685230246702294,0.02596087084386681,0.03269234537430178
dconvert,svg-medium.csv,4,0.017157892266683468,0.02640158887048244,0.03316711095540202
dconvert,svg-small.csv,0,0.03466956719333951,0.019550325003208878,0.024374720986889503
dconvert,svg-small.csv,1,0.036199386752345186,0.0203689269392291,0.02551787440101459
dconvert,svg-small.csv,2,0.03657002668904779,0.020470093243738198,0.02547124498646868
dconvert,svg-small.csv,3,0.03542210418564202,0.020050890209687238,0.025055801564267895
dconvert,svg-small.csv,4,0.03533691311814977,0.01989925122746253,0.02495960145798627
h2,smallbank-1.csv,0,0.05687797876387332,1127.8152606871001,1343.3026637786884
