system,dataset,repeat,MAPE,MAE,RMSE
batlik,corona.csv,0,0.06041493760655418,0.0841567875447221,0.10365207216186276
batlik,corona.csv,1,0.03764116336658229,0.057852381271935406,0.08209849092576314
batlik,corona.csv,2,0.03551614558861994,0.05506450301604651,0.07803992400996206
batlik,corona.csv,3,0.05639420456990684,0.077470965881676,0.09606176481679361
batlik,corona.csv,4,0.05808410581164307,0.08245961552308012,0.10346560081985925
batlik,cranium.csv,0,0.02203610776891224,0.044516499240260354,0.05793438215168175
batlik,cranium.csv,1,0.02587662388310364,0.05083328588094697,0.06379506956724934
batlik,cranium.csv,2,0.022927710998503097,0.04514315299957944,0.058800412874864864
batlik,cranium.csv,3,0.024100109306256473,0.04619036164828496,0.059348926375247774
batlik,cranium.csv,4,0.028983953286277207,0.05651814407772488,0.07535683395221457
batlik,cubus.csv,0,0.018473807393910746,0.11619400493042756,0.15985661938478343
batlik,cubus.csv,1,0.02223831649868891,0.13651523455767564,0.17516998301375894
batlik,cubus.csv,2,0.022919945503645674,0.13818662491202915,0.1744578943222686
batlik,cubus.csv,3,0.027612121570279816,0.16391320146492017,0.20009048605085278
batlik,cubus.csv,4,0.020628767067060228,0.12736911057306569,0.16074811049138338
batlik,flame.csv,0,0.032177738479609,0.058037142984930526,0.07949929580330219
batlik,flame.csv,1,0.022448450053168912,0.04078008740534059,0.05199520347112138
batlik,flame.csv,2,0.02328397064636009,0.041430284159843914,0.05197418983189399
batlik,flame.csv,3,0.025553360467272558,0.045333766974567064,0.05680392258136537
batlik,flame.csv,4,0.023657353107907238,0.04282923614101977,0.054964258248289405
batlik,france.csv,0,0.02995975954855182,0.10346317067392555,0.12620747596947457
batlik,france.csv,1,0.024444362011540807,0.08531842209363767,0.10411115812997908
batlik,france.csv,2,0.025648594496499862,0.08867917336954943,0.11151403394657687
batlik,france.csv,3,0.028501940491780037,0.09663756166079047,0.12306298013849491
batlik,france.csv,4,0.028028648705184317,0.09475528764799354,0.11786000420144903
